,amp1mean,amp1std,amp1skew,amp1kurt,amp1dmean,amp1dstd,amp1dskew,amp1dkurt,amp10mean,amp10std,amp10skew,amp10kurt,amp10dmean,amp10dstd,amp10dskew,amp10dkurt,amp100mean,amp100std,amp100skew,amp100kurt,amp100dmean,amp100dstd,amp100dskew,amp100dkurt,amp1000mean,amp1000std,amp1000skew,amp1000kurt,amp1000dmean,amp1000dstd,amp1000dskew,amp1000dkurt,power1,power2,power3,power4,power5,power6,power7,power8,power9,power10
LanaDelRey\03 Blue Jeans (Remastered).mp3,1.957125,8771.799396753975,0.0032435175051590223,3.413321108154432,0.015846693077821796,4973.53283768929,0.05254694075743828,5.5928090642531085,1.957124999999998,6473.6702560778895,0.03650576385413521,3.7969434454192057,0.03811396856614987,7050.63564016483,0.07673818507703899,3.7897950410712378,1.9571249999999982,1950.0502726247303,0.197483795963904,4.846773579446507,0.3127537922987102,3523.405757679577,0.014509171573606537,4.81175138616435,1.9571250000000016,172.12378528191866,-0.12412026665406202,3.930337077094315,0.2666310517529195,286.2096890176007,0.027671161870925047,4.5284681270530065,0.28393954911224534,0.21984531773579147,0.11863717518247566,0.08611059403779309,0.057740011952573056,0.046670754760363344,0.06441352962000617,0.059510235475877526,0.03415243140721657,0.02898040071565752
LanaDelRey\05 Diet Mountain Dew.mp3,7.412271666666666,9315.488072963957,-0.03990695879455156,3.5279505893175402,0.027151711919519865,4141.960498909392,-0.08722253921105962,5.550727673387118,7.4122716666666655,7703.086667500172,0.020773207203255904,4.109571885360873,0.23262387706462448,8620.221383342561,0.05250597651525134,3.8237223616573313,7.412271666666665,1713.415724568449,-0.08323042602578283,7.713954814237489,0.28726621103517747,3066.827042556017,0.08813930783023731,7.949696377577729,7.412271666666669,163.39028740506944,0.026825393259385343,4.5204553537836185,0.1354674457429049,272.1580521471965,0.1917684058337319,4.217567211833731,0.38546211186590273,0.18010441998572982,0.09167242037767369,0.08095940159437044,0.06930428061855347,0.04900349716577131,0.047806775924693255,0.03504514341510938,0.03150398389891356,0.029137965153282423
LanaDelRey\06 National Anthem.mp3,-4.402511666666666,9944.433197916109,0.02694755513891144,3.3975137507169073,-0.009348348913914856,4290.35401633792,0.01123590709188567,5.161805387607985,-4.402511666666668,7813.943512312963,-0.027902276476561218,4.165976778140594,0.07652460874348181,9563.960559921672,-0.06078947480400509,4.3357382365209,-4.402511666666666,2390.972528832255,0.20927644526591865,15.582864522679053,-0.049563260543427835,4525.730424870116,-0.018865696991735906,16.380956871748975,-4.4025116666666655,200.64163712423502,0.19620542923623094,5.57023920297444,-0.20690317195325633,344.22553435581284,-0.13442841724269614,5.621126590490316,0.36139924378311267,0.21849929559250506,0.12432291672299246,0.0848953272495638,0.05671575132462653,0.04248494594830801,0.04022890084988158,0.029642559615147893,0.022834797732878043,0.018976261180983847
LanaDelRey\08 Radio.mp3,-14.901133333333334,10027.095843426554,0.04399436297122317,2.8832480032136343,0.011635019391698986,4904.580976231019,-0.0140788085100399,4.556953871749397,-14.901133333333332,7972.831474344296,0.029267847642193486,3.2385086674045054,-0.02944049067484597,8939.664033469011,0.006007779129495932,3.1695404941622787,-14.901133333333341,2793.466806815744,0.2256279956241809,7.534709220721512,-0.45808468078013215,5247.452122870573,-0.08468684960426791,8.057960725960594,-14.90113333333333,245.9743237884371,0.14115741074145358,3.3670557314198173,-0.3066260434056753,439.6989796454112,0.07218837226914863,3.3540753264781453,0.3449221022390446,0.19277010290446564,0.10766123997949359,0.07863063109646207,0.06781953195111201,0.05630842331251555,0.0469317870261168,0.04231804225686931,0.03319042534644505,0.029447713887475496
LanaDelRey\11 Summertime Sadness.mp3,4.627181666666667,8939.862848127375,-0.015511963846021562,3.1114110000647828,0.005308342180570301,4268.075314376685,-0.1373719402331128,5.207975416308851,4.627181666666667,7203.67687430898,0.016105665204396408,3.2364543943245314,-0.013868564476077668,6464.411174518118,-0.0368885934705721,3.5665942569194438,4.627181666666663,2840.603052581231,-0.017319244340664636,3.873985089770209,1.1299966661110117,5325.569364284354,-0.04760944159514948,3.986117518299489,4.627181666666665,246.62128346038045,-0.04373742614192199,4.472530878308216,0.3026878130217024,432.01455129260245,-0.13263469155612023,4.584061997448517,0.31536210549163946,0.21662377887186637,0.12025290071217712,0.08624541977186563,0.06029476651155516,0.04764659471986932,0.046786870780065895,0.037086337604145425,0.038767029861297125,0.03093419567551877
LanaDelRey\02 Off to the Races.mp3,-3.66693,9983.439364317675,0.010930018275310923,3.028544185207729,0.026843378072296788,5247.346195909534,-0.134301628165962,5.3556516480065355,-3.6669300000000007,8277.94811214746,-0.002898037537954344,3.174688765082607,0.17693961566026392,6815.60129347725,-0.02702804622785393,4.1210945803045425,-3.6669300000000016,4107.778001593868,-0.005944716724682459,3.019275379609272,-0.43215369228203787,7331.3449972840635,-0.024809810157532815,3.071492472018614,-3.666930000000001,352.851906037167,-0.051250520899910244,3.8907340451325094,0.2015959933222067,590.1500375619556,-0.22145269508279825,4.008761768043237,0.30909748292888584,0.17168266993300813,0.10671724220030412,0.08748894848583191,0.07780023634988724,0.06402888666278389,0.060417578268815136,0.05803972888242657,0.03607865948907353,0.028648566798983616
LanaDelRey\07 Dark Paradise.mp3,-7.536366666666667,8799.668430089141,0.060561742062279954,3.1564308336388374,-0.0038750064583440973,3303.7495713353783,0.06582680279564522,5.417444527148761,-7.536366666666668,7716.439853669877,0.024172672127862276,3.2701985255913626,0.048277471291195556,5827.562651329935,0.060193998155270136,3.7269261376621654,-7.536366666666676,4420.388693808121,-0.02982552580914045,2.8377420584302815,-0.04002833805632864,8714.459441612466,0.018403171986133275,2.8344667607722944,-7.536366666666666,245.09011138030888,-0.39138295357103636,3.210826344796319,0.0660400667779571,341.20193898312596,-0.2339860410144693,3.1311259740682185,0.343097237520294,0.2013564570868348,0.12549653997336063,0.08001284623332187,0.05687725610656855,0.04623631391838624,0.0392616703801573,0.0329995458476723,0.03907684512315893,0.0355852878102454
LanaDelRey\04 Video Games (Remastered).mp3,13.077935,7563.060502313717,-0.2038967000407148,3.6389109105206296,0.0013333355555592593,3153.423828261586,0.7798770857942406,11.997667510785913,13.077934999999993,6008.688789477283,-0.09274064042585614,3.775278645869836,-0.03769396156602253,7224.5753601374445,0.0011219744122898348,3.271300617500316,13.077935,1295.2884824674588,0.04033724223956169,5.417867051142998,-0.08416402733789012,2263.7515635400973,-0.01712652270114095,6.023295661853426,13.077935,135.90731205166057,0.13957267490668293,7.293240745749629,-0.09933388981636122,232.06573145021054,-0.12791509062184922,7.20597057109329,0.36689625965424283,0.22208512072101463,0.1157076014742377,0.0759798493067729,0.05083861037547193,0.03972790135223948,0.03906191085855747,0.02920926477648813,0.03536976275328606,0.025123718727688916
LanaDelRey\01 Born to Die.mp3,15.795608333333334,8757.574475345655,-0.09602921789059962,3.401614379444037,-0.005106675177791963,4169.723639931385,-0.019818891821352814,4.99190154100436,15.795608333333336,6802.506339369425,-0.027425480532323954,3.8605096870221445,-0.05349922498707649,7422.919018825639,0.09786725115212193,3.4504887374945707,15.795608333333334,2612.517891746893,-0.019028585926503673,4.728238435419068,0.16209201533590104,4848.1285089132725,0.06414188969955495,5.06906811161566,15.795608333333336,219.96705097967498,0.10828998997252655,3.9542137886368938,0.5485659432387321,367.22333321556766,0.13208725759647477,4.2011026123685244,0.32378504890639126,0.2263651221292336,0.11314681157903367,0.09503704791411538,0.0605794313948761,0.05193482705594333,0.04092845607400804,0.034542970437059825,0.02930123049326279,0.02437905401607579
LanaDelRey\10 Million Dollar Man.mp3,13.412125,8861.660002520106,-0.06321803102431252,3.385459250584399,0.0004450007416679028,4763.5306716152145,0.017270988305775403,5.47413666700483,13.412124999999996,6159.194334038704,0.04712903227875996,3.842712882576403,-0.041765696094942746,7414.9327404131745,0.16207575739955188,3.8211649129674083,13.412125000000005,2021.7450084586667,-0.03971194055688476,9.748927343020245,1.3755875979329806,3792.324240846208,-0.0047335550614925875,11.103121447432091,13.412125,164.56963770615783,0.14621379787089908,4.994934137422132,0.41570450751252147,272.3958248400508,-0.04550901699602627,5.240420319909441,0.2892824089958529,0.24810063667175272,0.11496318922238168,0.08707338834198508,0.07415618440133089,0.05928020936096365,0.04685638737964644,0.031815744025346246,0.02804453692569864,0.02042731467504173
